cultivo_nombre,anio,campania,provincia_nombre,provincia_id,departamento_nombre,departamento_id,superficie_sembrada_ha,superficie_cosechada_ha,produccion_tm,rendimiento_kgxha
soja 1ra,2000,2000/01,Buenos Aires,6,Adolfo Alsina,6007,19800,19800,32900,1662
soja 1ra,2000,2000/01,Buenos Aires,6,Adolfo Gonzales Chaves,6014,19500,19500,27300,1400
soja 1ra,2000,2000/01,Buenos Aires,6,Alberti,6021,9000,7200,20200,2806
soja 1ra,2000,2000/01,Buenos Aires,6,Ayacucho,6042,1500,1450,2200,1517
soja 1ra,2000,2000/01,Buenos Aires,6,Azul,6049,39000,38200,70700,1851
soja 1ra,2000,2000/01,Buenos Aires,6,Balcarce,6063,18000,17600,31700,1801
soja 1ra,2000,2000/01,Buenos Aires,6,Baradero,6070,39000,39000,124800,3200
soja 1ra,2000,2000/01,Buenos Aires,6,Arrecifes,6077,54000,54000,167400,3100
soja 1ra,2000,2000/01,Buenos Aires,6,Benito Juárez,6084,16000,15650,26600,1700
soja 1ra,2000,2000/01,Buenos Aires,6,Bolívar,6105,20000,17000,30600,1800
soja 1ra,2000,2000/01,Buenos Aires,6,Bragado,6112,20000,16490,46200,2802
soja 1ra,2000,2000/01,Buenos Aires,6,Campana,6126,3700,3700,11100,3000
soja 1ra,2000,2000/01,Buenos Aires,6,Cañuelas,6134,1080,1080,3500,3241
soja 1ra,2000,2000/01,Buenos Aires,6,Capitán Sarmiento,6140,25000,25000,80000,3200
soja 1ra,2000,2000/01,Buenos Aires,6,Carlos Casares,6147,42000,40000,108000,2700
soja 1ra,2000,2000/01,Buenos Aires,6,Carlos Tejedor,6154,25500,24000,60000,2500
soja 1ra,2000,2000/01,Buenos Aires,6,Carmen de Areco,6161,16000,16000,51200,3200
soja 1ra,2000,2000/01,Buenos Aires,6,Castelli,6168,500,480,700,1458
soja 1ra,2000,2000/01,Buenos Aires,6,Colón,6175,40000,40000,136000,3400
soja 1ra,2000,2000/01,Buenos Aires,6,Coronel Dorrego,6189,6500,6500,5900,908
soja 1ra,2000,2000/01,Buenos Aires,6,Coronel Pringles,6196,12000,12000,16800,1400
soja 1ra,2000,2000/01,Buenos Aires,6,Coronel Suárez,6203,35000,34600,86500,2500
soja 1ra,2000,2000/01,Buenos Aires,6,Chacabuco,6210,34000,33500,100500,3000
soja 1ra,2000,2000/01,Buenos Aires,6,Chascomús,6218,1440,1440,4600,3194
soja 1ra,2000,2000/01,Buenos Aires,6,Chivilcoy,6224,10000,8330,23300,2797
soja 1ra,2000,2000/01,Buenos Aires,6,Daireaux,6231,36250,36250,68900,1901
soja 1ra,2000,2000/01,Buenos Aires,6,Dolores,6238,500,480,700,1458
soja 1ra,2000,2000/01,Buenos Aires,6,Exaltación de la Cruz,6266,8800,8800,26400,3000
soja 1ra,2000,2000/01,Buenos Aires,6,Florentino Ameghino,6277,16000,15500,43400,2800
soja 1ra,2000,2000/01,Buenos Aires,6,General Alvarado,6280,4000,3900,6800,1744
soja 1ra,2000,2000/01,Buenos Aires,6,General Alvear,6287,10000,9000,17100,1900
soja 1ra,2000,2000/01,Buenos Aires,6,General Arenales,6294,27000,26500,84800,3200
soja 1ra,2000,2000/01,Buenos Aires,6,General Belgrano,6301,1620,1620,5000,3086
soja 1ra,2000,2000/01,Buenos Aires,6,General Juan Madariaga,6315,1200,1160,1900,1638
soja 1ra,2000,2000/01,Buenos Aires,6,General La Madrid,6322,7000,6650,13300,2000
soja 1ra,2000,2000/01,Buenos Aires,6,General Las Heras,6329,200,200,600,3000
soja 1ra,2000,2000/01,Buenos Aires,6,General Pinto,6351,25000,24500,68600,2800
soja 1ra,2000,2000/01,Buenos Aires,6,General Pueyrredón,6357,1700,1650,2900,1758
soja 1ra,2000,2000/01,Buenos Aires,6,General Rodríguez,6364,200,200,600,3000
soja 1ra,2000,2000/01,Buenos Aires,6,General Viamonte,6385,30000,29500,82600,2800
soja 1ra,2000,2000/01,Buenos Aires,6,General Villegas,6392,70000,69600,194900,2800
soja 1ra,2000,2000/01,Buenos Aires,6,Guaminí,6399,13000,12950,24100,1861
soja 1ra,2000,2000/01,Buenos Aires,6,Hipólito Yrigoyen,6406,10400,8900,16000,1798
soja 1ra,2000,2000/01,Buenos Aires,6,Junín,6413,30000,29600,88800,3000
soja 1ra,2000,2000/01,Buenos Aires,6,Laprida,6448,5800,5800,8700,1500
soja 1ra,2000,2000/01,Buenos Aires,6,Las Flores,6455,720,648,1200,1852
soja 1ra,2000,2000/01,Buenos Aires,6,Leandro N. Alem,6462,19000,18500,51800,2800
soja 1ra,2000,2000/01,Buenos Aires,6,Lincoln,6469,30000,29000,81200,2800
soja 1ra,2000,2000/01,Buenos Aires,6,Lobería,6476,13000,12700,21600,1701
soja 1ra,2000,2000/01,Buenos Aires,6,Lobos,6483,3600,3600,11200,3111
